Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Onondaga County Sheriff Department,NY,         779,         676,,,         836,         660,         703,         664,         616,         536,         638,         592,         634,         512,         457,         408,,         449,         423,         372,         330,         399,         362,         360,         531,         357,         433,         550,         386,         368, 
Rochester Police Dept,NY,       5833,       5813,       5418,       5424,       6096,       5805,       5980,       6915,       6340,       5339,       5089,       4472,       3764,       3594,       3010,       2777,       2459,       2467,       2497,       2721,       2758,       2673,       2582,       2808,       2899,       3448,       3384,       2978,       2587,       2125, 
Saratoga County Sheriff Department,NY,         207,         210,         435,         303,         341,         305,         338,         343,         260,         294,         283,         344,         234,         243,         232,         189,         240,         196,         155,         178,         140,         204,         175,         238,         209,         254,         258,         245,         243,         210, 
Suffolk County Police Department,NY,,,,,,,,,,,,,,,,,,,       4091,       3537,       3509,       3373,       3360,       3805,       3740,       4031,       4342,       3699,       2979,       2904, 
Syracuse Police Dept,NY,       3741,       3646,       4721,       3649,       3502,       2999,       3328,       3023,       2824,       2945,       3048,       2821,       2388,       2194,       2016,       1846,       1810,       1930,       1975,       1678,       1867,       1904,       1785,       1938,       1946,       2174,       1705,       1896,       1781,       1404, 
Yonkers Police Dept,NY,       2041,       2225,       2216,       2237,       1858,       1980,       2115,       1723,       1682,       1624,       1400,       1381,       1467,       1170,         939,         860,         837,         746,         816,         713,         641,         651,         642,         653,         620,         521,         753,         535,         470,         414, 
Buncombe County Sheriff Department,NC,         754,         820,         710,         884,       1099,       1096,       1030,         822,         631,         697,         705,         858,         848,         816,         905,         833,         896,         864,,,         980,       1069,         952,         877,         879,         831,         891,         812,         897,         698, 
Cary Police Dept,NC,         103,         144,         158,         229,         230,         309,         405,         384,         367,         370,         381,         354,         438,         340,         295,         337,         304,         384,         397,         413,         432,         554,         448,         503,         469,         535,         370,         370,         392,         325, 
Charlotte-Mecklenburg Police Department,NC,,,,,,,,,,,,,,,,,,,,,,,,,       9817,       9325,       8536,       7761,       6439,       6031, 
Davidson County Sheriff Department,NC,         512,         501,         541,         691,         871,         978,       1066,       1270,         951,       1001,       1051,         793,         632,         414,         459,         180,          78,          33,          35,          48,         166,         157,         252,,         777,         776,       1000,         824,         885,       1062, 
Durham Police Dept,NC,       2690,       2690,       2973,       3350,       3641,       3881,       5007,       5124,       4851,       4729,       4522,       4226,       3958,       3952,       4144,       3735,       3457,       3088,       3528,       3249,       3157,       3098,,       3490,       3643,       3652,       3874,       3284,       3090,       3652, 
Fayetteville Police Dept,NC,       1931,       1888,       2494,       2255,       2784,       2626,       2623,       2341,       2071,       2183,       2098,       2032,       2113,       1903,       2317,       2424,       2485,       2273,       2035,       2040,       2531,       3519,       3569,       3920,       4289,       3928,       4204,       4109,       3279,       2510, 
Forsyth County Sheriff Department,NC,         383,         652,         584,         588,         621,         778,       1539,       1145,       1033,       1225,       1018,         919,       1086,       1010,         978,         951,         974,         946,       1107,,         834,         799,         819,,         711,         763,         905,         679,         588,         753, 
Greensboro Police Dept,NC,       2204,       2421,       2534,       2861,       3125,       2767,       3379,       3342,       3177,       3245,       3671,       3228,       3076,       3739,       3198,       2964,       3258,       2946,       3255,       3441,       3954,       4129,       4704,       4942,       4789,       4221,,       3345,       2972,       2508, 
Guilford County Sheriff Office,NC,         784,         890,         889,         899,,       1082,       1168,       1254,       1227,       1152,       1108,       1002,         980,         911,         888,         873,         917,         824,         714,         747,         705,         750,         762,         870,         825,         728,         747,         608,         587,         557, 
High Point Police Dept,NC,       1142,       1119,       1274,       1409,       1676,       1823,       2094,       1862,       2060,       1896,       1861,       1990,       1832,       1669,       1661,       1540,       1807,       1483,       1585,       1819,       1970,       1697,       1870,       1953,       1463,       1313,       1266,       1188,       1206,         998, 
Iredell County Sheriff Department,NC,         430,         598,         398,         529,,         613,         409,         476,         398,         403,         582,         543,         554,         554,         538,         578,         744,         649,         605,         729,         782,,         720,         705,,         750,         752,         771,         727,         536, 
Johnston County Sheriff Department,NC,         452,         487,         583,         615,         610,         660,       1012,         873,         742,         675,         587,         684,         823,         930,         931,         995,         797,         928,         750,         725,         867,         789,,       1001,         942,         878,         899,         895,         678,         682, 
Onslow County Sheriff Department,NC,         712,         893,         931,         934,         865,         853,       1105,         958,         898,,       1015,         968,         890,         870,         708,,         759,,,,,         895,         994,       1127,       1303,         910,         954,         848,,         708, 
Raleigh Police Dept,NC,       2061,       2284,       3240,       2742,       3042,       2856,       3934,       3775,       2947,       3546,       3682,       3139,       3650,       3249,       3459,       4033,       3983,       3836,       3327,       2576,       3040,       2978,       2949,       3095,       3187,       3021,       2985,       3036,       3157,, 
Union County Sheriff Office,NC,         349,         455,         524,,         582,         603,         677,         649,         618,         714,         593,         646,         729,         729,         629,,         737,         784,,,         622,       1009,,         894,         865,         735,         850,         667,         564,         670, 
Wake County Sheriff Department,NC,       1204,       1259,       1419,       1165,,       1140,       1612,       1552,       1247,       1237,         975,       1035,       1081,       1358,       1275,       1350,       1274,       1112,         974,         908,         868,       1062,       1070,         677,       1023,         986,       1019,       1000,       1070,         839, 
Wilmington Police Dept,NC,       1325,       1453,       1729,       1844,       1745,       1741,       2081,       1843,       1531,       1605,       1490,       1562,       1629,       1496,       1789,       1931,       1983,       1851,       1855,       1894,       1855,       1694,       1637,       1465,       1626,       1447,       1454,       1694,       1645,       1343, 
Winston-Salem Police Dept,NC,       2596,       3107,       3543,       3574,       4129,       4606,       4822,       4703,       4783,       4905,       4644,       3812,       3815,       3571,       3638,       3375,       3444,       3311,       3957,       3546,       4016,       4289,,       4670,       4532,       4482,       4680,       4529,       3883,       3724, 
Fargo Police Dept,ND,         555,         355,         447,         559,         456,         478,,         327,         428,         332,         376,         349,         365,         307,         443,         319,         366,         398,         343,         395,         436,         526,         530,         443,         638,         392,         423,         451,         704,         541, 
Akron City Police Dept,OH,       3197,       3295,       4073,       3604,       3358,       3513,       3984,       3353,       3367,       3042,       2792,       2866,,,       2329,       1362,       2806,       3099,       3209,       3279,       3441,       3277,       3358,       3786,       3777,       4262,       4268,       3429,       3109,       2883, 
Cincinnati Police Dept,OH,       6453,       6034,       5733,       5856,       6215,       5896,       8489,       7076,       6154,       6020,       5366,       5687,,,       4382,       4960,       6242,       6431,       5931,       5583,       5439,       6027,       6211,       6338,       6291,       6515,       6674,       5483,       5484,       4842, 
Cleveland,OH,      11621,      11928,      13163,      12052,      10585,      10198,      10151,       9000,       8031,       8007,       7693,       7708,       8146,       6850,       7246,       7435,       7937,       8096,       8048,       8136,       8624,       9693,       9083,       9115,       9239,       9871,      10706,       9740,       8279,       6963, 
Columbus Police Dept,OH,      11101,      12121,      14218,      15483,      14982,      14828,      16398,      15020,      13055,      13086,      13146,      13013,      13453,      13526,      14090,      13600,      15740,      16066,      14650,      14617,      14714,      14862,      14429,      14753,      14616,      15258,      15169,,      11789,       9100, 
Dayton,OH,       4555,       4026,       5329,       4782,       4746,       4678,       4808,       4552,       4303,       3939,       4022,       3720,       3719,       4047,       3653,       3749,       4025,       3909,       3821,       3693,       3234,       3532,       3278,       3237,       3248,       3390,       3121,       3043,       2627,       2990, 
Hamilton County Sheriff Department,OH,       1097,       1119,       1302,       1152,       1011,       1027,       1295,       1298,       1159,       1053,       1060,       1078,       1023,         937,         912,         885,       1074,       1038,       1078,       1031,       1173,       1115,       1004,       1113,       1283,       1207,       1350,       1168,         866,         722, 
Stark County Sheriff Office,OH,         941,         843,       1031,         929,         821,,         944,,       1170,       1186,       1113,         976,         917,         835,         740,         863,         658,         929,         860,         782,         842,         825,         766,         901,         378,         520,         645,         758,         373,         614, 
Toledo Police Dept,OH,       5861,       5992,       6964,,       7431,       6268,       5885,       6116,       5502,       6587,       6298,       5597,       5817,       5182,       4721,       5105,       6299,       5811,       5664,       5651,       7101,       6915,       5921,       6522,       8064,       7287,       8366,       6729,       5357,       4691, 
Broken Arrow Police Dept,OK,         364,         542,         494,         528,         464,         393,         422,         427,         386,         397,         503,         518,         410,         337,         379,         424,         453,         427,         400,         433,         415,         420,         426,         476,         423,         353,         426,         374,         409,         369, 
Norman Police Dept,OK,       1306,       1415,       1349,       1348,       1075,       1114,         992,       1086,       1040,         876,         870,         926,         824,         760,         708,         871,         886,       1057,         853,         734,         654,         881,         795,         727,         765,         811,         677,         629,         612,         566, 
Oklahoma City Police Dept,OK,      14730,      17048,      17345,      14693,      13675,      11440,      11825,      11249,      10000,      10301,      10420,      10690,       9778,       9268,       8038,       7280,       8405,       8314,       8300,       8315,       8925,       9304,       8110,       9225,      10594,       9901,       9855,       9854,       8016,       6638, 
Tulsa Police Dept,OK,       9078,       9374,       9504,       9648,       8963,       8200,       8724,       8051,       7196,       6548,       6072,       6131,       6360,       6493,       6558,       5383,       5863,       6313,       6403,       6648,       6592,       6315,       6843,       6725,       6626,       7146,       7353,       6235,       5935,       5500, 
Clackamas County Sheriff Department,OR,       3218,       3224,       2692,       2632,       2031,       1702,       1870,       2245,       1911,       1775,       1823,       1538,       1612,       1561,       1390,       1430,       1568,       1231,       1208,       1405,       1219,       1061,         989,         849,         870,       1097,         891,       1000,         875,, 
Eugene Police Dept,OR,       2076,       2185,       2459,       1916,       1582,       1530,       1629,       1799,       1381,       1869,       2036,       1914,       2128,       2167,       1775,       1381,       1247,       1209,       1424,       1734,       1603,       1561,       1640,       1704,       1868,       1293,       1440,       1515,       1539,       1068, 
Gresham Police Dept,OR,         815,         772,         888,       1072,         955,         745,         755,         789,         736,         853,         835,         780,         841,         769,         858,         888,         893,         817,         955,       1030,         882,         645,         627,         703,         572,         674,         751,         886,         920,         915, 
Portland Police Dept,OR,      17148,      17236,      15185,      15236,      12380,       8967,       9503,       8761,       7845,       8001,       7813,       7142,       7398,       6713,       6107,       5560,       5592,       5702,       6484,       7237,       6121,       5485,       4840,       4307,       3696,       4120,       4303,       4471,       4128,       4146, 
Salem Police Dept,OR,       2132,       2585,       2082,       2059,       1897,       1563,       1808,       1609,       1592,       1771,       1852,       1282,       1350,       1395,       1293,       1259,       1395,       1415,       1575,       1355,       1173,       1074,         915,       1101,         981,         876,         891,       1043,       1018,         833, 
Washington County Sheriff Office,OR,       1894,       1831,       1616,       1580,       1219,       1172,       1296,       1067,       1008,       1019,       1060,,,         821,         840,         873,         852,         902,         959,         807,         791,         833,         644,         699,         585,         515,         566,         556,         518,         480, 
Allentown City Police Dept,PA,       1378,       1595,       1648,       1338,       1382,       1434,       1371,       1227,       1682,       1679,       1435,       1513,       1342,       1387,       1113,       1195,       1111,       1212,       1111,       1389,       1393,       1433,       1335,       1423,       1414,       1327,       1101,       1248,       1263,         940, 
Erie Police Dept,PA,       1152,       1239,       1437,       1366,       1474,       1201,       1158,       1173,         999,       1137,       1015,       1019,       1152,         948,         705,         694,         734,         702,         725,         747,         632,         740,         831,       1111,       1013,       1106,       1233,       1095,       1017,         772, 
Philadelphia Police Dept,PA,      19007,      19174,      20070,      20304,      21896,      24144,      21460,      16199,      15117,      14106,      16165,      13723,      13951,      15437,      14042,      12089,      11629,      11244,      10656,      10536,      10960,      11542,      11524,      12845,      10969,      10796,      12057,      12004,      10408,       9694, 
Pittsburgh,PA,       7243,       6980,       7647,       7444,       8109,       5988,       5891,       5201,       4611,       4335,       3598,       3049,       3359,       3800,       3115,       3153,       3246,       3298,       3180,       3045,       3018,       3713,       3418,       3108,       2811,       2949,       2686,       2537,       2173,       2129, 
Providence Police Dept,RI,       4049,       4492,       5499,       4504,       3860,       4480,       3787,       4167,       4240,       3606,       3534,       2934,       2317,       2140,       2101,       2289,       2284,       2186,       1682,       1688,       1835,       1746,       1638,       1875,       1825,       2036,,       1929,       1837,       1671, 
Aiken County Sheriff Department,SC,         946,       1025,       1206,       1220,       1149,       1320,       1117,       1172,       1019,       1122,       1140,       1201,       1104,         941,         837,         901,         808,         828,         884,         808,         779,         915,       1007,       1100,       1353,       1429,       1329,       1187,       1150,       1124, 
Anderson County Sheriff Department,SC,       1373,       1392,       1417,       1406,       1390,       1477,       1345,       1448,       1632,       1513,       1488,       1618,       1704,       1145,       1145,       1122,       1121,       1372,       1642,       1568,       1608,       1489,       2100,       2074,       1606,       1832,       2061,       1890,       2174,       1934, 
Beaufort County Sheriff Office,SC,       1141,       1008,       1141,       1404,       1263,       1157,       1320,       1325,       1241,       1153,       1289,       1358,       1316,       1256,       1140,       1067,,       1249,       1365,       1339,       1066,       1081,       1019,       1239,       1094,       1122,       1106,       1015,         855,         697, 
Berkeley County Sheriff Office,SC,         714,         862,         818,       1014,         763,         871,       1204,       1185,         900,         972,         971,         967,       1102,       1066,         781,         926,,         985,         790,         887,       1019,       1010,         958,       1043,       1000,         978,         951,       1010,       1116,         811, 
Charleston City Police Dept,SC,         878,       1033,       1067,         871,         854,       1000,       1215,       1219,       1093,         849,       1073,       1239,       1025,       1006,         991,         834,,       1023,         888,         936,         810,         679,         746,         725,         563,         590,         527,         374,         307,         351, 
Columbia Police Dept,SC,       2226,       2668,       2684,       2793,       2025,       1967,       2145,       1627,       2101,       1866,       2260,       1924,       1623,       1509,       1296,       1204,,       1650,       1405,       1722,       1334,       1314,       1321,       1190,       1689,       1701,       1566,       1723,       1399,       1114, 
Greenville County Sheriff Office,SC,       2463,       3058,       2591,       3241,       3084,       2842,       3092,       3209,       2359,       2659,       2549,       2952,       3052,       2965,       2517,       2552,       2168,       2635,       2792,       2988,       3101,       3452,       3470,       2949,       2719,       2805,       3014,       3000,       3059,       2918, 
Horry County Police Department,SC,,,,,,,,,,,,,,,,,,,,,,,,,       1833,       1900,       1997,,       1562,       1526, 
Lexington County Sheriff Department,SC,       1357,       1299,       1649,       1449,       1780,       1576,       1547,       1592,       1569,       1522,       1746,       1809,       1625,       1729,       1578,       1449,,       1497,       1326,       1139,       1071,         943,       1038,         923,         984,         985,       1147,       1068,       1021,         873, 
North Charleston Police Dept,SC,       1397,       1525,       1467,       1896,       1731,       1612,       1727,       1404,       1485,       1465,       1515,       1764,       1573,       1216,       1189,       1166,,       1359,       1384,       1221,       1367,       1333,       1196,       1203,       1023,         969,         999,         854,         894,         799, 
Richland County Sheriff Department,SC,       2096,       2373,       2284,       2220,       1977,       2018,       2326,       2285,       2418,       2206,       2035,       1936,       2125,       2085,       1342,       1239,       1888,       2348,       2067,       1823,       1653,       1777,       2150,       2413,       2468,       2770,       2860,       2657,       2018,       1653, 
Spartanburg County Sheriff Office,SC,       1435,       1835,       1908,       2122,       2391,       2387,       2216,       2049,       2244,       2189,       2201,       2203,       1997,       2082,       1692,       1589,,       1479,       1728,       1674,       1631,       2141,       1926,       1845,       1732,       1673,       1854,       1783,       1635,       1548, 
York County Sheriff Department,SC,         921,         951,       1052,       1151,       1036,       1145,       1181,       1028,         960,         844,         782,         800,         931,         911,         917,         797,,       1014,         677,         691,         748,         723,         822,         943,         743,         737,         657,         531,         609,         588, 
Sioux Falls Police Dept,SD,         719,         912,         780,         807,         694,         579,         800,         621,         735,         874,         904,         864,         586,         591,         620,         603,         681,         652,         770,         916,         811,         798,         641,         664,         754,         993,         880,         899,         875,         847, 
Chattanooga Police Dept,TN,       2804,       2803,       3445,       3956,       4000,       4603,       4331,       3077,       3144,       2736,       2595,       2668,       2789,       2810,       2672,       3273,       3239,       2575,       2449,       2615,       2196,       2277,       2385,       2849,       2992,       2680,       2503,       2291,       2322,       2093, 
Clarksville Police Dept,TN,         752,         846,         791,         729,         690,         899,       1084,         995,         875,       1065,       1166,       2102,       2295,       1228,         756,         783,         677,         778,       1066,       1047,       1079,       1351,       1529,       1386,       1568,       1384,       1333,         976,       1024,         976, 
Hamilton County Sheriff Office,TN,         529,         502,         621,         463,         650,         694,,         580,         462,,,,,,,         636,         574,         564,         509,         497,         552,         463,         520,         609,         642,         580,         642,         625,         525,         551, 
Knox County Sheriff Office,TN,       1537,       1773,       1761,       1856,       1971,       1754,       2258,       2107,       1378,       1281,       1228,       1430,       1222,       1577,       1124,       1253,       1347,       1592,       1497,       1522,       1577,       1434,       1515,       1711,       1855,       1853,       1458,       1285,       1301,       1295, 
Knoxville Police Dept,TN,       3302,       4079,       4008,       3700,       3989,       3637,       3984,       3340,       2817,       2688,       2810,       2341,       2039,       1646,       1381,       1583,       1722,       2143,       2340,       2519,       2482,       2294,       2507,       2668,       2594,       2728,       2544,       2882,       2276,       1977, 
Memphis Police Dept,TN,      15888,      18329,      18451,      16293,      15072,      15526,      16580,      16284,      15314,      15731,      16026,      16634,      15471,      14921,      13005,      14943,      15903,      16360,      16908,      14643,      15856,      16457,      14620,      15879,      13953,      13100,      13254,      12575,      11844,      11463, 
Murfreesboro Police Dept,TN,         460,         467,         472,         531,         505,         505,         549,         622,         619,,,,,         349,         362,         478,         378,         472,         476,         603,         790,         896,         929,       1029,       1347,       1309,       1383,         923,         742,         762, 
Nashville-Davidson Metro Police Dept,TN,       8587,      11380,      11358,       8866,       8062,       8892,      10321,      10238,       9149,       8342,       8236,       8025,       8834,       7499,       6962,       7646,       7842,       7468,       7369,       6833,       6448,       6370,       6111,       6312,       6321,       7690,       7541,       5736,       5640,       4772, 
Shelby County Sheriff Office,TN,       1231,       1508,       1814,       1656,,       1510,,,       1580,       1720,       1584,,,,,       1121,       1322,       1393,       1132,       1123,       1098,       1295,       1123,       1299,       1272,       1291,       1123,         945,         891,         772, 
Abilene Police Dept,TX,       1623,       2351,       2607,       2223,       2486,       1647,       1808,       1439,       1089,       1250,       1044,       1120,       1320,       1246,       1023,         960,       1084,       1289,       1814,       1694,       1521,       1282,       1324,       1206,       1301,       1340,       1119,       1037,       1055,       1095, 
Amarillo Police Dept,TX,       2689,       3653,       3200,       3532,       3370,       3262,       2354,       2722,       2739,       2168,       2419,       2116,       2130,       1963,       1772,       2130,       2536,       2469,       2201,       2296,       2549,       2411,       2589,       2419,       2561,       2594,       2016,       2087,       1832,       1845, 
Arlington Police Dept,TX,       3502,       4475,       4749,       4968,       5177,       4498,       4778,       4290,       3977,       3470,       3224,       3395,       3056,       2974,       3180,       3141,       3552,       3638,       3606,       3375,       3984,       4042,       4447,       4461,       4891,       4763,       4388,       3543,       3181,       2470, 
Austin Police Dept,TX,      10261,      12454,      11417,      11990,      11160,      11371,      11591,      10208,       8453,       7047,       7521,       7575,       7511,       6952,       6748,       6436,       7473,       6916,       7240,       6810,       7285,       7467,       8031,       8586,       8753,       8749,       7042,       7244,       6550,       5733, 
Beaumont Police Dept,TX,       2935,       3490,       4338,       3812,       3752,       3842,       3580,       3344,       2610,       2377,       1749,       1958,       1836,       1993,       2051,       1551,       1692,       1722,       1726,       1875,       2057,       1887,       1707,       1925,       1665,       1611,       2035,       1828,       1922,       1456, 
Bexar County Sheriff Office,TX,       2293,       2586,       3142,       3146,       2431,       2740,       2639,       2188,       1817,       1648,       1233,       1227,       1247,       1217,       1106,       1162,       1285,       1317,       1419,       1616,       1675,       1817,       2126,       2391,       2299,       2151,       2013,       2081,       1777,       1790, 
Brazoria County Sheriff Department,TX,         510,         591,         586,         521,         497,         554,         562,         534,         442,         449,         526,         560,         517,         505,         487,         541,         547,         477,         633,         788,         773,         518,         522,         523,         577,         573,         620,         587,         550,         327, 
Brownsville Police Dept,TX,       2470,       2098,       2142,       2490,       2451,       2414,       2428,       2412,       2209,       1996,       1264,       1328,       1366,       1346,       1227,       1227,       1066,       1207,       1024,       1208,       1236,       1377,       1442,       1590,       1576,       1286,       1009,       1145,       1140,       1068, 
Cameron County Sheriff Department,TX,         833,         976,         840,         939,       1120,       1095,       1322,       1023,         958,         911,,         627,       1093,         905,         853,         821,         682,         568,         726,         686,         801,         740,         828,         806,         783,         754,         615,         619,         523,         491, 
Carrollton Police Dept,TX,         975,       1404,       1517,       1383,       1215,       1180,       1249,       1164,         831,         802,         709,         659,         720,         797,         734,         781,         802,         819,         808,         844,         916,         815,         893,       1017,       1085,         897,         896,         771,         706,         510, 
City Of College Station Police Dept,TX,         356,         535,         906,         849,         563,         491,         424,         380,         405,         329,         313,         391,         320,         414,         273,         309,         285,         354,         384,         469,         555,         549,         481,         628,         613,         475,         651,         576,         432,         517, 
City Of Fort Worth Police Dept,TX,      15873,      19257,      20567,      19106,      17216,      15298,      16878,      14304,      10505,       8295,       7334,       7917,       6573,       7422,       7506,       7251,       7971,       9736,       8788,       8569,       8684,       8996,       9013,       9018,      10191,       9355,      10058,       8442,       8308,       7130, 
City Of Waco Police Dept,TX,       2858,       3748,       3646,       4128,       3941,       3171,       3646,       2513,       2397,       1781,       1900,       2092,       1977,       1886,       1871,       1515,       1875,       2197,       2176,       2167,       2413,       2188,       1987,       2090,       1897,       1856,       1670,       1550,       1508,       1373, 
Corpus Christi Police Dept,TX,       5353,       6247,       6477,       7999,       6948,       6131,       5829,       5246,       4600,       4248,       3785,       3773,       4371,       3858,       3521,       3537,       3999,       3581,       3757,       3985,       3357,       3005,       3407,       3464,       2976,       2626,       2668,       2452,       2595,       2316, 
Dallas Police Dept,TX,      31460,      37703,      39237,      42543,      38652,      32975,      31513,      24806,      20975,      17860,      16705,      17960,      17755,      18755,      19629,      20300,      20635,      20351,      21927,      23126,      22363,      21653,      22472,      21149,      19428,      19594,      18727,      16090,      14516,      11685, 
Denton County Sheriff Department,TX,         487,         508,         442,         425,         440,         374,         367,         245,         166,         250,         210,         164,         167,         134,         169,         142,         148,         174,         245,         231,         315,         285,         258,         268,         199,         292,         342,         255,         228,         162, 
Denton Police Dept,TX,         969,       1355,       1511,       1594,       1804,       1432,       1244,         948,         676,         571,         640,         583,         581,         496,         530,         567,         547,         678,         683,         627,         684,         675,         726,         670,         693,         569,         565,         632,         482,         431, 
El Paso County Sheriff Department,TX,         506,         613,         641,         721,         667,         912,         784,         805,         701,         496,         448,         413,         362,         424,         327,         323,         261,         310,         336,         261,         304,         310,         361,         294,         381,         369,         357,         303,         349,         287, 
El Paso Police Dept,TX,       8006,       9190,      10459,      12163,      11418,       9565,       9087,       7655,       5643,       4277,       3828,       3942,       3251,       2632,       2496,       2228,       2553,       2221,       2185,       2304,       2156,       2220,       2149,       2079,       1991,       1953,       1859,       1826,       1771,       1579, 
Fort Bend County Sheriff Department,TX,         925,       1034,       1029,         985,       1102,       1304,       1190,         831,         672,         813,         762,         695,         776,         634,         719,         938,         970,       1005,       1113,         990,       1136,       1138,       1035,       1521,       1769,       1579,       1509,       1672,       1313,       1220, 
Frisco Police Dept,TX,,,,          55,          75,          71,          62,          53,          67,          68,          77,          92,          76,         118,         116,,         239,         360,         409,         579,         629,         740,         528,         505,         360,         434,         483,         440,         381,         403, 
Garland Police Dept,TX,       2434,       3285,       3357,       3415,       2959,       2903,       2920,       2910,       2522,       2318,       2146,       1786,       1742,       1758,       1779,       1842,       2141,       1868,       2197,       2052,       2011,       1889,       2026,       2265,       2206,       2159,       2244,       2218,       2053,       1527, 
Grand Prairie Police Dept,TX,       1584,       1936,       1942,       2081,       2174,       1879,       2017,       1400,       1259,       1020,       1065,       1068,       1013,       1135,         996,       1019,       1095,       1291,       1368,       1362,       1439,       1591,       1577,       1777,       2082,       1967,       1808,       1298,       1120,         913, 
Harris County Sheriff Office,TX,      11360,      13779,      13778,      15543,      13070,      12185,      11292,      10190,       8778,       9140,       8504,       8930,       8131,       7616,       7837,       7903,       8643,       9065,       9455,       9941,      10840,      11543,      13286,      13017,      15053,      15240,,      13848,      13447,      11858, 
Hidalgo County Sheriff Department,TX,       1428,       2023,       2063,       1841,       1852,       2641,       3022,       2744,       2710,       2465,       2361,       2448,       2802,       2572,       2842,       2693,       2517,       2434,       2429,       2353,       2416,       2124,       2332,       2678,       2798,       2835,       2498,       2435,       2321,       1862, 
Houston Police Dept,TX,      40207,      44530,      44601,      50178,      47043,      42986,      39726,      30207,      27022,      25518,      24830,      25402,      23967,      23065,      24744,      23254,      25108,      26905,      26522,      27110,      27541,      26869,      29044,      26947,      29279,      27924,      27459,      26630,      23733,      21629, 
Irving Police Dept,TX,       2746,       3105,       2913,       2849,       2616,       2430,       2490,       1849,       1663,       1501,       1344,       1480,       1307,       1397,       1291,       1245,       1387,       1634,       1515,       1535,       1730,       1674,       1730,       1819,       1913,       1632,       1603,       1277,       1137,       1043, 
Killeen Police Dept,TX,       1217,       1577,       1499,       1625,       1229,       1151,       1381,       1549,       1142,         960,         949,         932,       1350,       1292,       1290,       1037,       1170,       1756,       1812,       1741,       2071,       2121,       2319,       1711,       1735,       2062,       2034,       1498,       1396,       1334, 
Laredo,TX,       2401,       2421,       1903,       2189,       2158,       2231,       2680,       1876,       1720,       1798,       1628,       1672,       2074,       1930,       1853,       1749,       1791,       1898,       1975,       2064,       1552,       1643,       1878,       2091,       2164,       1821,       1790,       1718,       1425,       1267, 
Lewisville Police Dept,TX,         762,         790,       1061,         886,       1042,         847,         824,         697,         557,         642,         516,         548,         537,         446,,         472,         477,         613,         610,         545,         514,         511,         556,         616,         659,         663,         573,         492,         507,         439, 
Lubbock Police Dept,TX,       5679,       6146,       5891,       4687,       3520,       2893,       3034,       2919,       2541,       2499,       2441,       2456,       2588,       2654,       2352,       2648,       2847,       2979,       2829,       2678,       2697,       3070,       3136,       3109,       3730,       3083,       3410,       3099,       2608,       2288, 
Mcallen Police Dept,TX,       1375,       1447,       1757,       1593,       1782,       1624,       1709,       1949,       2083,       1987,       1762,       1475,       1569,       1305,       1261,       1365,       1567,       1074,         902,       1001,         734,         637,         824,         818,         796,         711,         511,         503,         536,         411, 
Mckinney Police Dept,TX,         358,         359,         390,         405,         419,         320,         414,         332,         354,         263,         269,         243,         313,         252,         318,         514,         350,         526,         478,         376,         452,         495,         532,         510,         711,         643,         626,         492,         477,         400, 
Mesquite Police Dept,TX,       1514,       1889,       2386,       2270,       2098,       1666,       1314,       1088,       1008,         954,         825,         564,         536,         607,         541,         594,         646,         689,         855,         908,         837,         926,         944,       1029,       1390,       1457,       1704,       1568,       1382,       1176, 
Midland Police Dept,TX,       1613,       1842,       1726,       2039,       2206,       1554,       1679,       1317,       1126,       1083,       1004,       1030,         950,         798,         732,         683,         690,         839,         941,,         779,         861,         835,         836,         909,         893,         715,         559,         568,         597, 
Montgomery County Sheriff Department,TX,       1851,       2131,       2486,       2370,       2012,       1938,       1927,       1744,       1630,       1549,       1516,       1615,       1641,       1532,       1467,       1685,       1707,       1701,       1808,       1811,       1670,       1874,       2064,       2196,       2343,       2184,       1837,       1732,       1681,       1475, 
Odessa Police Dept,TX,       2729,       2876,       2895,       2458,       2581,       2415,       2297,       2327,       1969,       1431,       1269,       1198,       1063,         935,         931,         908,         946,         948,         826,         895,         756,         774,         870,         893,       1084,         824,         617,         770,         764,         735, 
Pasadena Police Dept,TX,       1552,       1838,       1895,       2174,       2121,       2150,       2478,       1930,       1701,       1305,       1225,       1408,       1323,       1160,       1111,       1275,       1270,       1379,       1269,       1207,       1063,       1017,       1034,         971,       1213,       1113,       1124,         999,       1011,         788, 
Pearland Police Dept,TX,         235,         273,         237,         245,         237,         215,         234,         195,         163,         150,         116,         139,         113,         142,         164,         177,         211,         214,         252,         228,         364,         402,         425,         352,         391,         327,         331,         277,         289,         304, 
Plano Police Dept,TX,       1183,       1372,       1572,       1566,       1593,       1720,       1553,       1522,       1319,       1228,       1345,       1443,       1352,       1478,       1384,       1475,       1417,       1326,       1527,       1346,       1362,       1391,       1380,       1526,       1481,       1237,       1193,       1095,         947,         826, 
Richardson Police Dept,TX,         938,       1108,       1182,       1234,       1249,       1124,       1125,       1012,         928,         662,         574,         594,         550,         599,         703,         779,         750,         718,         701,         732,         764,         686,         794,         853,         920,         607,         680,         698,         539,         374, 
